Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Al Hayat Rahma Diagnostic Center,Bad,24.803224,55.361626,Dubai,872,78300,72148,70426,68530,72322,71543,"Gastroenterology (Digestive system); Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Urology; Dermatology; Internal Medicine; Cardiology; Pediatrics; Anesthesiology; Endocrinology (Hormonal disorders); Pathology and Laboratory Services",196.3,215.26,217.31,226.33,238.07,258.93,240.49,287.66,202.76,268.68,271.08,362.28,4979,4527,4107,4523,5349,5291,412,32548,15704,16844,Advanced equipment,Frustrating; No communication; Disorganized; Long wait; Unprofessional
Saada Dowaly,Good,25.324986,55.691733,Sharjah,23,42078,39702,36743,33822,33234,33797,General Surgery; Pediatrics; Internal Medicine; Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Dermatology,106.74,101.61,100.39,101.52,106.45,116.27,105.2,131.2,126.13,142.99,156.48,129.69,843,846,729,694,806,833,673,16152,10769,5383,Supportive; Clean environment; Skilled; Kind,Inconsiderate
Ilaj Medical Center,Very Bad,25.041006,55.343039,Dubai,492,52244,59358,66238,62353,65213,64695,"Dermatology; Radiology; Gastroenterology (Digestive system); Cardiology; Urology; Dental and Oral Surgery; Infectious Diseases; Endocrinology (Hormonal disorders); Physiotherapy and Rehabilitation; Obstetrics and Gynecology (OB/GYN); Pediatrics; Oncology (Cancer treatment); Ear, Nose, and Throat (ENT) / Otolaryngology",174.27,179.21,190.46,191.75,188.31,182,244.42,189.15,172.65,269.31,269.92,219.3,4366,3922,4492,4324,5293,6595,811,48660,9895,38765,Compassionate,Hidden charges; No empathy; Unprofessional; Inconsiderate; Rude
Hayat Medical Center,Very Bad,25.571692,55.692462,Umm Al Quwain,440,14297,14124,13593,13590,12688,12939,Obstetrics and Gynecology (OB/GYN); Gastroenterology (Digestive system); Urology; Infectious Diseases; Pediatrics; Radiology; General Surgery; Neurology; Cardiology; Pulmonology (Respiratory care); Endocrinology (Hormonal disorders); Nephrology (Kidney care); Pathology and Laboratory Services,181.76,194.25,213.09,208.42,206.82,205.47,202.06,223.95,182.35,214.17,196.49,268.91,1127,1198,1203,1446,1489,1773,139,12788,7894,4894,Gentle,Mismanaged; Rude; Slow
Al Mustashfa Afia,Very Good,24.850792,55.317035,Dubai,596,50467,49868,54468,61630,55912,60455,"Oncology (Cancer treatment); Ear, Nose, and Throat (ENT) / Otolaryngology; Emergency Medicine; Dental and Oral Surgery; Internal Medicine; Infectious Diseases; Intensive Care Unit (ICU); Radiology; Psychiatry and Mental Health",35.26,37.15,38.74,42.14,40.6,43.4,38.29,41.84,38.4,41.41,39.61,45.82,3956,3525,3237,3868,4771,4868,6,54,22,32,Reassuring; Excellent; Well-equipped; Comforting; High standards,Overpriced; Overcrowded; Chaotic; Disrespectful
Al Wahat Salam,Very Bad,25.50915,55.766181,Umm Al Quwain,841,25638,26501,24801,25430,27700,29922,"Neurology; Emergency Medicine; Radiology; Infectious Diseases; Ear, Nose, and Throat (ENT) / Otolaryngology; Endocrinology (Hormonal disorders); Dental and Oral Surgery; Anesthesiology; Obstetrics and Gynecology (OB/GYN); Ophthalmology (Eye care); Dermatology; Pulmonology (Respiratory care); General Surgery; Pediatrics; Orthopedics",182.2,193.38,198.43,200.02,217.92,226.14,223.57,178.03,170.01,170.12,268.38,237.24,2978,3362,3416,3821,3308,3261,265,9010,3003,6007,Great staff,Misdiagnosis; Unorganized; Chaotic; Negligent; Overcrowded
Al Wahat Hikma,Very Good,25.439611,55.503859,Ajman,312,97928,97207,110662,119706,123498,133634,"Neurology; Ear, Nose, and Throat (ENT) / Otolaryngology; Endocrinology (Hormonal disorders); Orthopedics; Urology; Dental and Oral Surgery; Pulmonology (Respiratory care); Anesthesiology; Infectious Diseases; Pediatrics; Obstetrics and Gynecology (OB/GYN); Internal Medicine; Physiotherapy and Rehabilitation; Emergency Medicine; Oncology (Cancer treatment)",0.71,0.77,0.75,0.79,0.76,0.79,0.77,0.62,0.78,1.13,0.71,0.64,3360,4111,3759,4202,5250,6198,563,4504,1884,2620,Modern; Supportive; Courteous,Frustrating
Ein Shifa Polyclinic,Bad,25.04202,55.329099,Sharjah,586,64676,62695,59003,66288,66257,76169,Pathology and Laboratory Services; Neurology; Emergency Medicine; Dental and Oral Surgery; Orthopedics; Dermatology; Intensive Care Unit (ICU); Anesthesiology; Nephrology (Kidney care); Infectious Diseases; Urology; Gastroenterology (Digestive system); Physiotherapy and Rehabilitation,89.49,94.86,93.85,98.11,99.9,95.09,86.1,131.9,75.29,132.38,130.09,126.28,524,489,534,539,602,741,122,2196,595,1601,Attentive; Satisfied,Not recommended; Crowded; Unprofessional; Arrogant; Disorganized
Noor Hikma Jadeed,Good,24.919472,55.332623,Dubai,761,36722,34058,31988,31811,32336,36215,"Physiotherapy and Rehabilitation; Gastroenterology (Digestive system); Urology; Oncology (Cancer treatment); Orthopedics; Ear, Nose, and Throat (ENT) / Otolaryngology",84.86,86.65,86.73,91.56,96.07,104.15,123.87,78.36,94.71,80.82,136.83,126.08,375,370,380,354,334,350,895,34010,21745,12265,Painless; Comforting; Friendly,Understaffed
Hayat Shifa Specialist Hospital,Acceptable,24.864903,55.031596,Dubai,911,6835,6482,5996,5769,5840,5487,"Ophthalmology (Eye care); Dental and Oral Surgery; Oncology (Cancer treatment); General Surgery; Pathology and Laboratory Services; Ear, Nose, and Throat (ENT) / Otolaryngology; Cardiology; Urology; Endocrinology (Hormonal disorders)",40.77,39.74,42.09,43.47,45.4,46.61,56.48,50.13,44.93,54.02,59.68,63.68,341,394,422,400,444,383,997,13958,3811,10147,Respectful; Great staff; Friendly; Supportive,No empathy; Hidden charges
Al Wahat Afia,Good,25.235321,55.535944,Sharjah,692,63763,65535,69168,77272,87209,84212,"Infectious Diseases; Gastroenterology (Digestive system); Obstetrics and Gynecology (OB/GYN); Pediatrics; Dermatology; Orthopedics; Oncology (Cancer treatment); Ear, Nose, and Throat (ENT) / Otolaryngology; Physiotherapy and Rehabilitation; Radiology; Pathology and Laboratory Services; Internal Medicine; Urology",2.32,2.34,2.55,2.78,2.77,2.68,1.87,1.96,2.98,3.93,2.33,3.73,2606,2505,2231,2270,2682,2643,388,36860,27521,9339,Satisfied; Caring,No empathy; Unprofessional
Hikma Polyclinic,Acceptable,25.516842,55.521475,Umm Al Quwain,816,2329,2428,2790,3108,3062,3395,Emergency Medicine; Anesthesiology; Physiotherapy and Rehabilitation; General Surgery; Endocrinology (Hormonal disorders); Infectious Diseases,151.17,153.03,166.45,158.5,158.02,161.15,147.08,195.56,205.79,141.48,184.37,181.35,314,296,354,397,461,456,893,56259,30615,25644,Positive experience; Organized; Follow-up care,Inattentive; Misdiagnosis; Ignored; Disrespectful
Al Markaz Salam,Very Bad,25.429417,55.509168,Ajman,850,82322,93794,93988,104012,106500,99411,Intensive Care Unit (ICU); Internal Medicine; Emergency Medicine; Urology; Neurology,7.73,7.87,7.58,7.66,8.42,8.89,10.59,7.64,9.22,6.8,11.87,9.45,2245,2423,2315,2422,2409,2714,286,12584,6399,6185,Trustworthy,Dirty; Lack of privacy
Hayat Medical Center,Very Good,25.53318,55.778043,Umm Al Quwain,946,37938,39574,39284,35939,34273,38745,"Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Anesthesiology; Cardiology; Emergency Medicine; Oncology (Cancer treatment); Gastroenterology (Digestive system); Nephrology (Kidney care); Pediatrics; General Surgery; Neurology; Dermatology; Pathology and Laboratory Services; Urology; Obstetrics and Gynecology (OB/GYN)",156.16,162.89,171.01,185.75,190.08,200.32,205.56,197.94,198.71,153.04,269.9,259.43,6,5,6,5,4,4,310,620,139,481,High standards; Reassuring; Clean rooms,Billing issues
Shifa Medical Center,Very Good,25.251506,55.618972,Sharjah,814,46995,48761,48755,51369,56013,57672,"Dermatology; Internal Medicine; Oncology (Cancer treatment); Orthopedics; Psychiatry and Mental Health; Ear, Nose, and Throat (ENT) / Otolaryngology; Infectious Diseases; Anesthesiology; Cardiology; Radiology",144.29,155.39,148.64,141.77,150.41,161.21,201.07,173.35,147.48,137.69,169.94,238.37,2608,2238,2690,2372,2024,2044,291,10476,7888,2588,Friendly; Clean environment; Well-equipped,Chaotic
Hayat Afia Watani,Very Bad,25.547779,55.878914,Ras Al Khaimah,590,95524,100287,106322,104313,117042,127350,"Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; Urology; Intensive Care Unit (ICU); Physiotherapy and Rehabilitation; Ophthalmology (Eye care); Pathology and Laboratory Services; Dermatology",159.61,170.58,180.77,173.61,190.64,202.54,169.49,189.13,189.91,205.47,205.55,229.44,2135,2120,2366,2314,2563,2696,80,3680,2644,1036,Advanced equipment,Insensitive; Unorganized; Poor service
Salam Specialist Hospital,Very Bad,25.466306,56.254586,Fujairah,328,35113,33441,36946,40584,39214,44742,"Infectious Diseases; General Surgery; Physiotherapy and Rehabilitation; Dental and Oral Surgery; Pediatrics; Cardiology; Intensive Care Unit (ICU); Pulmonology (Respiratory care); Psychiatry and Mental Health; Gastroenterology (Digestive system); Ophthalmology (Eye care); Ear, Nose, and Throat (ENT) / Otolaryngology; Orthopedics; Urology",105.86,102.64,107.3,111.04,118.6,128.27,114.38,108.21,121.29,152.71,118.97,103.95,3748,4584,4485,5397,5881,5211,633,9495,5475,4020,Clean rooms; Clean; Human touch; Helpful,Dirty toilets; Crowded; Inattentive; Incompetent; Unavailable doctors
Pediatric Clinic Emirates,Very Good,25.53088,55.79775,Umm Al Quwain,955,6766,7452,8282,8713,8735,8949,"Ear, Nose, and Throat (ENT) / Otolaryngology; Nephrology (Kidney care); Radiology; Endocrinology (Hormonal disorders); Ophthalmology (Eye care); Emergency Medicine; Cardiology; Pathology and Laboratory Services; Dermatology; Internal Medicine; Pulmonology (Respiratory care)",64.84,61.63,67.64,73.19,72.82,74.6,69.51,91.05,94.35,68.58,80.65,102.6,324,380,436,434,435,408,32,1408,767,641,Reassuring; Compassionate; Trustworthy; Personalized care,No communication; Delayed treatment
Hikma Medical Center,Very Good,25.439631,55.515284,Ajman,204,32015,34749,35052,35705,40394,40473,Urology; Emergency Medicine; Endocrinology (Hormonal disorders); Dermatology; Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Radiology; Oncology (Cancer treatment); Intensive Care Unit (ICU); Dental and Oral Surgery,111.7,110.22,111.92,118.01,112.57,108.16,102.53,122.89,131.88,149.66,125.29,142.66,3748,4478,4681,4099,4139,4943,382,14134,7724,6410,Comforting; Thorough; Professionalism,Untrustworthy
General Hospital Community,Good,24.657418,55.411299,Abu Dhabi,375,42307,42658,47940,43591,47947,52969,Gastroenterology (Digestive system); Intensive Care Unit (ICU); Radiology; Internal Medicine; General Surgery; Physiotherapy and Rehabilitation; Endocrinology (Hormonal disorders),165.74,173.86,183.41,194.88,196.61,202.04,241.78,197.72,217.77,283.29,169.86,271.78,2000,2152,2240,1968,1976,1814,745,30545,14813,15732,Satisfied; Good communication; Clean; Advanced equipment; Positive experience,Understaffed
Dar Amal Hilal,Good,25.136765,56.24018,Fujairah,266,34393,33368,35039,37063,37187,42418,"Ear, Nose, and Throat (ENT) / Otolaryngology; Obstetrics and Gynecology (OB/GYN); Neurology; Ophthalmology (Eye care); Internal Medicine; Physiotherapy and Rehabilitation; Orthopedics; Endocrinology (Hormonal disorders); Radiology; Infectious Diseases; Oncology (Cancer treatment); Emergency Medicine; Intensive Care Unit (ICU); General Surgery; Dental and Oral Surgery",57.32,60.4,59.75,62.73,66.14,63.52,70.39,62.23,51.25,76.24,56.93,94.43,532,569,706,838,947,944,564,7332,4542,2790,Painless; Recommended,Stressed
Noor Rahma Arabi,Very Bad,25.26377,56.116369,Fujairah,992,14350,13610,15232,14293,15204,14631,Pulmonology (Respiratory care); Infectious Diseases; Obstetrics and Gynecology (OB/GYN); Radiology; Cardiology; Orthopedics,12.37,11.89,12.9,13.08,13.71,13.68,15.11,11.53,19.12,11.22,20.53,12.73,544,658,565,627,582,510,321,25680,20246,5434,Respect; Helpful; Quick response,Hidden charges; No empathy
Al Mustashfa Amal Takhassusi,Bad,22.661408,55.138995,Abu Dhabi,240,18025,20147,21194,21900,23216,21680,Physiotherapy and Rehabilitation; Intensive Care Unit (ICU); Ophthalmology (Eye care); Oncology (Cancer treatment); Psychiatry and Mental Health,173.79,184.77,200.55,220.24,218.34,238.27,208.2,224.87,232.02,214.16,192.18,324.12,1322,1473,1666,1960,1937,1962,251,5020,2867,2153,Helpful,Overcrowded; Indifferent; Disorganized; Misdiagnosis
Al Burj Rahma,Very Bad,25.4259,55.499871,Ajman,538,85298,77819,82170,89657,86643,80738,Emergency Medicine; Pulmonology (Respiratory care); Endocrinology (Hormonal disorders); Dental and Oral Surgery; Intensive Care Unit (ICU),64.22,65.81,64.93,71.19,73.3,77.49,76.64,96.73,69.6,70.8,62.97,104.03,4923,5176,5978,6416,5467,6048,449,25593,8970,16623,Comforting,Bad experience; No empathy; Poor service; Incompetent; Unsafe
Al Ilaj Diagnostic Center,Acceptable,23.904838,55.394953,Abu Dhabi,740,27887,26135,27921,31119,34593,36894,"Ear, Nose, and Throat (ENT) / Otolaryngology; Endocrinology (Hormonal disorders); Ophthalmology (Eye care); Physiotherapy and Rehabilitation; Nephrology (Kidney care); Oncology (Cancer treatment); Urology; Dermatology; Radiology",53.89,52.44,56.25,57.83,57.22,62.76,48.07,50.72,67.55,55.18,64.52,90.08,3278,3687,3866,3682,4086,4443,382,2292,1483,809,Supportive; Skilled,Rude; Slow; Unsafe
Al Burj Amal,Good,24.973024,55.321322,Dubai,866,80110,79601,74231,77958,79945,72220,"Psychiatry and Mental Health; General Surgery; Cardiology; Infectious Diseases; Nephrology (Kidney care); Physiotherapy and Rehabilitation; Oncology (Cancer treatment); Ophthalmology (Eye care); Ear, Nose, and Throat (ENT) / Otolaryngology; Radiology; Anesthesiology",47.52,49.83,53.99,54.34,53.75,56.37,59.22,45.21,44.96,81.34,70.74,78.8,1126,1156,1386,1439,1526,1631,739,25865,18286,7579,Caring; Knowledgeable; Gentle; Recommended,No empathy
Hayat Salam,Acceptable,25.028618,55.582742,Sharjah,272,77707,78149,71617,80183,84022,90138,"Orthopedics; Anesthesiology; Physiotherapy and Rehabilitation; Nephrology (Kidney care); Ear, Nose, and Throat (ENT) / Otolaryngology; Radiology; Obstetrics and Gynecology (OB/GYN); Urology; Oncology (Cancer treatment)",97.37,102.63,112.18,121.33,118.08,128.48,96.95,87.59,145.92,147.61,153.96,152.27,493,586,695,779,725,814,205,18655,11982,6673,Attentive; Comforting; Personalized care; Good communication,Rude; Inattentive; Slow; Billing issues; Long wait
Salam Specialist Hospital,Acceptable,25.592248,55.715441,Umm Al Quwain,778,52986,48817,48050,49584,49157,52859,Gastroenterology (Digestive system); Oncology (Cancer treatment); General Surgery; Orthopedics; Pathology and Laboratory Services,89.44,93.2,92.28,97.56,101.24,96.75,103.09,105.33,117.02,120.28,147.45,138.28,394,370,363,397,444,528,1,84,64,20,Fast service; Personalized care; Trustworthy; Painless,No explanation; Noisy
Markaz Ilaj,Acceptable,25.149839,55.809869,Sharjah,713,45645,50808,55042,54390,60001,55249,"Dermatology; Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Nephrology (Kidney care); Ophthalmology (Eye care); Orthopedics; Infectious Diseases; Neurology; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Physiotherapy and Rehabilitation; Internal Medicine; Endocrinology (Hormonal disorders); Gastroenterology (Digestive system); Radiology",56.87,56.93,57.94,55.27,53.79,58.03,64.46,77.89,80.07,77.02,67.01,82.04,4728,4071,4954,4899,5942,7018,798,39102,21224,17878,Advanced equipment; Respect,Lack of care; Poor follow-up; Not recommended; Noisy
Al Rahma Diagnostic Center,Bad,25.696186,55.995385,Ras Al Khaimah,824,22309,23954,25071,25469,23985,22628,Pathology and Laboratory Services; Dermatology; Ophthalmology (Eye care); General Surgery; Endocrinology (Hormonal disorders); Intensive Care Unit (ICU); Oncology (Cancer treatment); Cardiology; Pulmonology (Respiratory care); Orthopedics,13.28,14.07,15.44,16.21,17.21,17.71,18.96,17.93,19.3,18.74,20.11,23.56,897,767,759,874,1010,1209,617,30233,10090,20143,Patient; Reassuring; Skilled,Indifferent; Painful; No empathy; Understaffed
Burj Saada Diagnostic Center,Good,25.170771,55.490286,Sharjah,575,52729,48327,52122,55009,53509,48632,"Emergency Medicine; Dermatology; Physiotherapy and Rehabilitation; Ear, Nose, and Throat (ENT) / Otolaryngology; Pediatrics; Urology; Oncology (Cancer treatment); Dental and Oral Surgery; Intensive Care Unit (ICU); Cardiology; Radiology",73.15,80.11,81.69,82.11,89.62,95.35,67.63,87.4,111.18,79.87,115.13,121.92,3568,3124,3187,2746,2776,2667,613,11034,3077,7957,Attentive; Kind; Clean; Patient,Crowded; Ignored; Long wait
Shifa Medical Center,Good,25.411723,56.298124,Fujairah,711,69789,69791,79337,87850,100637,109166,Pediatrics; Gastroenterology (Digestive system); Oncology (Cancer treatment); Pathology and Laboratory Services; Nephrology (Kidney care); Pulmonology (Respiratory care),0.98,0.99,1.07,1.11,1.17,1.18,1.18,0.85,1.18,1.32,0.94,1.67,939,1048,1071,1237,1150,1073,364,32396,10776,21620,Thorough; Professionalism,Noisy; Disorganized; Stressed
Pediatric Medical National,Bad,25.3905,55.463557,Ajman,155,8388,7648,7119,6847,7803,7707,Orthopedics; Nephrology (Kidney care); Ophthalmology (Eye care); Oncology (Cancer treatment); Pathology and Laboratory Services; Obstetrics and Gynecology (OB/GYN),170.96,180.66,176.58,170.77,164.71,163.58,194.99,194.08,252.45,223.36,140.83,157.79,402,495,562,567,488,448,194,14356,10796,3560,Professional; Respectful; Helpful; Safe,Miscommunication; Ignored; Dirty toilets; Billing issues; Disrespectful
Shifa Takhassusi International,Acceptable,25.491597,55.753567,Umm Al Quwain,471,90920,100936,102330,101743,99965,97135,Emergency Medicine; Anesthesiology; Neurology; Pediatrics; Obstetrics and Gynecology (OB/GYN); Cardiology; Dermatology; Physiotherapy and Rehabilitation; Pathology and Laboratory Services; Ophthalmology (Eye care),147.4,151.92,158.09,162.67,162.26,173.88,148.21,156.03,183.61,200.79,152.34,228.1,2266,2092,1889,2105,1966,2440,95,6175,2546,3629,Good bedside manner; Safe,Stressed; Disorganized; Lack of care; Cold attitude
Al Noor Afia,Good,25.454512,55.720159,Umm Al Quwain,581,97708,89391,82275,81490,79660,75583,Pulmonology (Respiratory care); Intensive Care Unit (ICU); Neurology; Oncology (Cancer treatment); Ophthalmology (Eye care); Cardiology,176.38,169.89,165.79,176.71,183.87,194.39,181.74,252.92,231.95,190.56,179.58,159.73,4697,4980,6219,6164,5275,5807,531,51507,27429,24078,Well-managed; Quick response,Ignored
Al Saada Specialist Hospital,Good,25.166161,55.497562,Dubai,173,96262,96520,108471,105320,117421,106463,"Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Anesthesiology; Cardiology; General Surgery; Radiology; Pulmonology (Respiratory care); Physiotherapy and Rehabilitation; Ear, Nose, and Throat (ENT) / Otolaryngology",147.12,147.39,149.58,145.52,147.36,156.26,147,217.85,128.67,164.46,191.21,189.59,923,999,1029,1167,1229,1386,147,6027,2334,3693,Efficient; Compassionate; Quick response; Thorough; Supportive,Insensitive
Al Noor Khaleej Al Sihi,Good,25.499689,55.570999,Umm Al Quwain,842,85426,81460,75359,80364,84754,89702,Emergency Medicine; General Surgery; Dermatology; Orthopedics; Gastroenterology (Digestive system),199.84,216.34,228.09,233.08,222.01,219.46,286.44,173.37,247.24,215.88,212.1,288.47,1641,1824,1978,1847,2035,2133,457,26049,18228,7821,Clean; Efficient; Attentive; Advanced equipment,Chaotic; Not recommended; Inattentive; Slow
Al Wahat Salam Mustaqbal,Bad,25.230702,55.335567,Dubai,354,94701,93951,99858,96509,105873,95702,"Pulmonology (Respiratory care); Obstetrics and Gynecology (OB/GYN); Urology; Neurology; Nephrology (Kidney care); Ear, Nose, and Throat (ENT) / Otolaryngology; Dermatology; Pathology and Laboratory Services; Physiotherapy and Rehabilitation",172.63,179.99,172.78,182.29,180.56,178.36,254.3,155.6,249.02,181.1,153.83,206.66,871,840,806,719,804,955,175,11550,4613,6937,Kind; Advanced equipment; Positive experience; Seamless process; Reassuring,Inattentive; Stressed
Ilaj Mustaqbal Lil Tibb,Very Bad,25.518223,55.707332,Umm Al Quwain,54,28990,31648,30558,33366,33173,31821,Orthopedics; Intensive Care Unit (ICU); Pediatrics; Pulmonology (Respiratory care); Dental and Oral Surgery; Nephrology (Kidney care),95.06,94.25,92.62,91.59,96.87,96.22,82.66,92.95,125.38,132.4,127.59,112.68,2690,3177,2983,3518,3817,4488,555,45510,29750,15760,Organized; Skilled; Respectful; Quick response,Not responsive; Noisy
Wahat Amal Hilal,Bad,25.568376,55.848418,Ras Al Khaimah,833,19234,20161,23078,21878,22247,24949,Radiology; Dermatology; Pathology and Laboratory Services; Intensive Care Unit (ICU); Pulmonology (Respiratory care); Urology; Pediatrics; Anesthesiology; Ophthalmology (Eye care); Oncology (Cancer treatment),167.39,183.36,174.43,171.75,184.6,188.7,160.38,176.19,163.56,222.79,156.9,237.88,403,412,467,575,496,579,838,64526,29726,34800,Good bedside manner,No communication; Stressed; Overpriced; Understaffed; Bad experience
Al Mustashfa Saada Arabi,Very Bad,25.466222,55.534598,Umm Al Quwain,400,73419,81177,86335,97680,89636,84363,Radiology; Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Intensive Care Unit (ICU); Pathology and Laboratory Services; Dermatology; Urology; Anesthesiology; Obstetrics and Gynecology (OB/GYN),181.8,197.87,202.44,200.71,195.9,194.08,255.88,159.25,213.77,256.34,292.58,194.11,1584,1510,1699,1893,2322,2678,81,6075,3259,2816,Respect,Untrustworthy; Unprofessional
Al Wahat Rahma,Good,23.180426,54.71187,Abu Dhabi,856,14179,15263,15292,16378,14955,15852,"Ear, Nose, and Throat (ENT) / Otolaryngology; Urology; General Surgery; Psychiatry and Mental Health; Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Intensive Care Unit (ICU); Nephrology (Kidney care); Pathology and Laboratory Services; Neurology; Internal Medicine; Gastroenterology (Digestive system); Emergency Medicine; Oncology (Cancer treatment); Dermatology",199.02,208.08,197.77,203.59,218.08,208.11,260.87,207.88,252.48,289.24,310.29,212.46,304,301,375,383,463,446,5,285,60,225,Knowledgeable; Kind; Satisfied; Prompt attention; Positive experience,Unorganized; Overcrowded
Al Hayat Saada,Bad,25.204118,55.818032,Sharjah,665,84793,87865,87414,96665,97508,103096,Obstetrics and Gynecology (OB/GYN); Pathology and Laboratory Services; Dental and Oral Surgery; Psychiatry and Mental Health; Urology; Gastroenterology (Digestive system); Emergency Medicine; Dermatology; Oncology (Cancer treatment); Pediatrics; Ophthalmology (Eye care); Nephrology (Kidney care),12.22,11.64,11.17,11.18,11.67,11.44,11.99,10.22,15.08,12.9,10.81,10.61,1673,2069,2057,2362,2681,2734,629,23902,10285,13617,Efficient,Unhygienic; Long wait; Cold attitude
Hikma Takhassusi Lil Tibb,Very Good,25.063616,55.190351,Dubai,468,74173,68434,64248,69994,76424,74102,"Gastroenterology (Digestive system); Cardiology; Dermatology; Ear, Nose, and Throat (ENT) / Otolaryngology; Infectious Diseases; Intensive Care Unit (ICU); Pulmonology (Respiratory care); Anesthesiology; Internal Medicine; Emergency Medicine; Radiology; Neurology; Physiotherapy and Rehabilitation; Endocrinology (Hormonal disorders); Pediatrics",59.84,62.33,65.47,70.82,72.29,77.61,74.16,69.07,65.18,65.16,64.22,64.49,1103,1318,1520,1867,1714,1733,330,1650,1268,382,Accurate diagnosis; Professionalism; Prompt attention; Kind; Quick response,Not responsive
Hayat Noor,Acceptable,23.932196,51.994063,Abu Dhabi,859,13032,14660,16550,15155,15664,14227,"Infectious Diseases; Intensive Care Unit (ICU); Neurology; Psychiatry and Mental Health; Oncology (Cancer treatment); Physiotherapy and Rehabilitation; Endocrinology (Hormonal disorders); Cardiology; Internal Medicine; Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Urology; Emergency Medicine; Pulmonology (Respiratory care); Obstetrics and Gynecology (OB/GYN)",64.11,63.92,65.69,66.32,66.54,72.84,84.68,82.74,73.86,80.77,92.53,75.69,727,802,794,854,791,804,155,14260,10544,3716,Skilled; Safe; Great staff,Poor hygiene; Outdated equipment; Noisy; Long wait; Disorganized
Al Ein Salam Khaleej,Acceptable,25.423818,55.477604,Ajman,139,4988,5430,4896,5457,5757,6189,"Ophthalmology (Eye care); Cardiology; Nephrology (Kidney care); Urology; Intensive Care Unit (ICU); Emergency Medicine; Infectious Diseases; Oncology (Cancer treatment); Orthopedics; Pulmonology (Respiratory care); Ear, Nose, and Throat (ENT) / Otolaryngology; Obstetrics and Gynecology (OB/GYN); Psychiatry and Mental Health",188.39,189.09,184.06,185.11,191.43,195.08,278.51,220.8,195.61,168.24,200.86,203.52,484,489,527,488,594,702,374,4862,1832,3030,Follow-up care; Reassuring; Fast service; Excellent,Dirty; Frustrating; Unhygienic; Rude; Confusing
Al Hikma Diagnostic Center,Acceptable,25.385698,55.689804,Sharjah,544,66365,61649,55569,53751,60724,58941,Urology; Orthopedics; Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Gastroenterology (Digestive system); Pathology and Laboratory Services; Neurology; Radiology,140.19,151.56,164.06,165.39,162.67,172.67,141.5,189.79,213.18,202.44,162.08,231.6,4163,4172,5078,5617,4874,4193,213,12780,8827,3953,Gentle; Fast service,Poor hygiene; Slow; Ignored; Frustrating
Saada Specialist Hospital,Very Bad,25.345584,56.16588,Fujairah,909,95175,89934,92240,91870,101427,103838,Anesthesiology; Gastroenterology (Digestive system); Neurology; Dental and Oral Surgery; Endocrinology (Hormonal disorders); Pediatrics,64.09,66.77,69.5,75.74,76.82,72.99,95.66,70.36,57.77,74.08,75.49,88.39,1809,1873,1771,1794,1732,1768,418,7106,5522,1584,Accurate diagnosis,Billing issues; Inconsiderate
Al Hikma Khaleej Al Sihi,Acceptable,25.565792,55.697257,Umm Al Quwain,602,29697,27136,24965,24467,24073,23080,"Infectious Diseases; Ear, Nose, and Throat (ENT) / Otolaryngology; Oncology (Cancer treatment); Dermatology; General Surgery; Endocrinology (Hormonal disorders)",199.94,205.77,221.89,223.19,235.25,233.34,205.07,272.76,246.54,265.72,291.25,202.53,226,209,183,201,207,208,433,37238,19202,18036,Comforting; Recommended; Friendly; Calm,Incompetent; Dirty; Overpriced; Ignored
